token,pos
бриллиантовая,ADJF
отделка,NOUN
на,PREP
обеих,NUMR
сторонах,NOUN
корпуса,NOUN
этой,ADJF
#,X
#,X
#,X
ультраженственной,ADJF
модели,NOUN
",",X
объединяющей,PRTF
часы,NOUN
и,CONJ
украшение,NOUN
-,X
1844,X
:,X
изобретение,NOUN
#,X
#,X
#,X
миллионометра,NOUN
",",X
измерения,NOUN
с,PREP
точностью,NOUN
до,PREP
микрона,NOUN
узор,NOUN
#,X
#,X
#,X
гильоше,NOUN
радует,VERB
глаз,NOUN
и,CONJ
облегчает,VERB
чтение,NOUN
показаний,NOUN
калибр,NOUN
11,X
1,X
/,X
2,X
’,X
’,X
’,X
",",X
63,X
камней,NOUN
",",X
частота,NOUN
колебаний,NOUN
баланса,NOUN
28,X
.,X
800,X
#,X
#,X
#,X
полуколебаний,NOUN
/,X
час,NOUN
(,X
4,X
гц,NOUN
),X
в,PREP
этом,NPRO
втором,ADJF
выпуске,NOUN
модели,NOUN
сохранился,VERB
дизайн,NOUN
корпуса,NOUN
",",X
навеянный,PRTF
стилем,NOUN
«,X
#,X
#,X
#,X
баухаус,NOUN
»,X
",",X
архитектурным,ADJF
течением,NOUN
30-х,ADJF
годов,NOUN
",",X
однако,CONJ
она,NPRO
приобрела,VERB
явный,ADJF
спортивный,ADJF
облик,NOUN
благодаря,PREP
титановому,ADJF
покрытию,NOUN
корпуса,NOUN
и,CONJ
отделке,NOUN
браслета,NOUN
«,X
под,PREP
углеволокно,NOUN
»,X
.,X
продолжив,GRND
в,PREP
этом,NPRO
году,NOUN
разработки,NOUN
в,PREP
области,NOUN
рафинированной,PRTF
архитектуры,NOUN
#,X
#,X
#,X
скелетонных,ADJF
часовых,ADJF
механизмов,NOUN
",",X
фирма,NOUN
предложила,VERB
свой,ADJF
двойной,ADJF
турбийон,NOUN
в,PREP
скульптурном,ADJF
исполнении,NOUN
.,X
вспомним,VERB
принцип,NOUN
действия,NOUN
#,X
#,X
#,X
турбийона,NOUN
:,X
регулятор,NOUN
