word,predicted,gold
Решения,ADP,NOUN
иных,NOUN,ADJ
гражданским,NOUN,ADJ
также,CCONJ,PART
15,NUM,ADJ
1503,PUNCT,ADJ
отошёл,PUNCT,VERB
Борисоглебский,NOUN,ADJ
Устье,NOUN,PROPN
постаревшего,NOUN,VERB
превратившегося,NOUN,VERB
дряхлого,NOUN,ADJ
отстраняют,PUNCT,VERB
дельцы,PUNCT,NOUN
щитовой,PUNCT,ADJ
вспоминая,PUNCT,VERB
сообщая,NOUN,VERB
зрителю,PUNCT,NOUN
том,DET,PRON
инопланетяне,ADP,NOUN
поднявшие,PUNCT,VERB
далёкой,NOUN,ADJ
Зейст,PUNCT,PROPN
жестокий,ADP,ADJ
Катана,PUNCT,PROPN
переднюю,ADP,ADJ
24-сильный,PUNCT,ADJ
4-х,PUNCT,ADJ
цилиндровый,PUNCT,ADJ
располагался,PUNCT,VERB
передней,NOUN,ADJ
авто,PUNCT,NOUN
позади,PUNCT,ADP
радиатора,PUNCT,NOUN
Фэроу,NOUN,PROPN
развивал,PUNCT,VERB
миссионерства,PUNCT,NOUN
полагая,PUNCT,VERB
это,PRON,PART
проповедь,VERB,NOUN
фреску,PUNCT,NOUN
огородили,PUNCT,VERB
взимая,PUNCT,VERB
символическую,VERB,ADJ
плату,ADP,NOUN
Автомобиль,PUNCT,NOUN
N16,PUNCT,NUM
Pulsar,PUNCT,X
Двинско-Печорскому,NOUN,ADJ
Печора,PUNCT,PROPN
Шердино,PUNCT,PROPN
Бассейны,PUNCT,NOUN
Печоры,PUNCT,PROPN
Усы,PUNCT,PROPN
народному,ADP,ADJ
бессменным,VERB,ADJ
387,PUNCT,NUM
968,NOUN,NUM
Демьянка,PUNCT,PROPN
7,NUM,ADJ
90:95,ADP,NUM
Брайант,PUNCT,PROPN
5,NUM,ADJ
опередив,PUNCT,VERB
Шакила,PUNCT,PROPN
О,ADP,PART
Поэтому,SCONJ,ADV
цепочки,ADP,NOUN
корневой,PUNCT,ADJ
сертификации,PUNCT,NOUN
подписывает,PUNCT,VERB
Бобылев,PUNCT,PROPN
Российского,PUNCT,ADJ
парапланерных,NOUN,ADJ
Коране,NOUN,PROPN
утверждается,PUNCT,VERB
Анбия,PUNCT,PROPN
34,PUNCT,NUM
вкусит,PUNCT,VERB
Анбия,PUNCT,PROPN
Аллах,NOUN,PROPN
коль,PUNCT,SCONJ
определенный,ADJ,VERB
Борна,PUNCT,PROPN
Фариа,PUNCT,PROPN
Трахана,NOUN,PROPN
заработных,NOUN,ADJ
платы,PUNCT,NOUN
топ-менеджера,PUNCT,NOUN
денежном,NOUN,ADJ
"12,7",PUNCT,NUM
млн.,PUNCT,NOUN
долл.,PUNCT,NOUN
крестьянских,PUNCT,ADJ
Посетители,PUNCT,NOUN
живописных,VERB,ADJ
Положительные,PUNCT,ADJ
комментаторов,PUNCT,NOUN
решающую,ADP,ADJ
стремительном,NOUN,ADJ
карьерном,PUNCT,ADJ
взлёте,PUNCT,NOUN
Ликсутова,PUNCT,PROPN
продержался,PUNCT,VERB
транслировался,NOUN,VERB
каналом,PUNCT,NOUN
Sat.,PUNCT,X
Банки,PUNCT,NOUN
векселя,PUNCT,NOUN
содержащие,PUNCT,VERB
солидных,PUNCT,ADJ
платёжеспособность,PUNCT,NOUN
сомнений,ADP,NOUN
так,SCONJ,ADV
первоклассные,ADP,ADJ
Позиция,PUNCT,NOUN
инославия,PUNCT,NOUN
сформулирована,PUNCT,VERB
Русской,PUNCT,ADJ
Православной,PUNCT,ADJ
Церкви,PUNCT,NOUN
принятом,PUNCT,VERB
Архиерейском,NOUN,ADJ
Соборе,PUNCT,NOUN
Манжара,PUNCT,PROPN
райкома,PUNCT,NOUN
профсоюза,PUNCT,NOUN
железнодорожников,PUNCT,NOUN
Ташкенте,NOUN,PROPN
ТурЦИКа,PUNCT,PROPN
Коммунистической,PUNCT,ADJ
Туркестана,PUNCT,PROPN
Ташгорисполкома,PUNCT,PROPN
Каждому,PUNCT,DET
анкеты,PUNCT,NOUN
DocDoc,PUNCT,X
присваивается,PUNCT,VERB
рейтинг,PUNCT,NOUN
профессиональной,PUNCT,ADJ
Элитные,PUNCT,ADJ
обычных,PUNCT,ADJ
Кёнигслуттер,PUNCT,PROPN
график,PUNCT,NOUN
как,SCONJ,ADP
абстракционизм,PUNCT,NOUN
конкретное,NOUN,ADJ
искусство,PUNCT,NOUN
Борьба,PUNCT,NOUN
Латинской,PUNCT,ADJ
Отсюда,PUNCT,ADV
Slave,PUNCT,X
сольных,NOUN,ADJ
хитов,PUNCT,NOUN
Ферри,PUNCT,PROPN
Заканчиваются,PUNCT,VERB
постганглионарные,PUNCT,ADJ
нервные,PUNCT,ADJ
волокна,PUNCT,NOUN
железа́х,PUNCT,NOUN
соответствующими,PUNCT,ADJ
концевыми,PUNCT,ADJ
нервными,PUNCT,ADJ
аппаратами,PUNCT,NOUN
домашней,PUNCT,ADJ
жестокости,PUNCT,NOUN
Ветряные,VERB,ADJ
упомянуты,PUNCT,VERB
Информация,PUNCT,NOUN
подтверждена,PUNCT,VERB
Allmusic,NOUN,X
занимались,PUNCT,VERB
земледелием,PUNCT,NOUN
скотоводстом,PUNCT,NOUN
Дипломной,PUNCT,ADJ
вокальная,ADP,ADJ
Разговор,PUNCT,NOUN
Салаватом,NOUN,PROPN
башкирском,NOUN,ADJ
Сударушкина,PUNCT,PROPN
биографические,ADP,ADJ
краеведе,PUNCT,NOUN
поэте,PUNCT,NOUN
Михаиле,PUNCT,PROPN
Сударушкине,PUNCT,PROPN
1977-2001,PUNCT,ADJ
литературоведе,PUNCT,NOUN
Олеге,PUNCT,PROPN
Попове,PUNCT,PROPN
спасшего,PUNCT,VERB
домик,PUNCT,NOUN
Пятигорске,NOUN,PROPN
Константине,NOUN,PROPN
Брендючкове,PUNCT,PROPN
фашистском,NOUN,ADJ
концлагере,PUNCT,NOUN
Бухенвальд,PUNCT,PROPN
старшему,NOUN,ADJ
поколению,PUNCT,NOUN
Дважды,PUNCT,ADV
рождённые,PUNCT,VERB
"6,3",PUNCT,NUM
Горожане,PUNCT,NOUN
любили,PUNCT,VERB
прогуливаться,PUNCT,VERB
этом,PRON,DET
красивом,VERB,ADJ
уголке,ADP,NOUN
Массивная,PUNCT,ADJ
елмань,PUNCT,NOUN
позволяла,PUNCT,VERB
его,DET,PRON
чугунолитейных,NOUN,ADJ
механический,PUNCT,ADJ
23,ADJ,NUM
солеваренных,NOUN,ADJ
кирпичных,NOUN,ADJ
завода,PUNCT,NOUN
паровые,NOUN,ADJ
мельницы,PUNCT,NOUN
фарфоровое,PUNCT,ADJ
макаронное,NOUN,ADJ
содовый,PUNCT,ADJ
химический,NOUN,ADJ
фабрика,PUNCT,NOUN
терракотовых,PUNCT,ADJ
плиток,PUNCT,NOUN
критикуется,PUNCT,VERB
тезис,PUNCT,NOUN
том,DET,PRON
обязательно,PUNCT,ADV
приведёт,PUNCT,VERB
892,ADP,NUM
Быстрый,PUNCT,ADJ
Наримановском,NOUN,ADJ
Нариманова,PUNCT,PROPN
выросла,PUNCT,VERB
1,NUM,ADJ
Закавказским,PUNCT,ADJ
Закавказского,PUNCT,ADJ
28-го,PUNCT,ADJ
механизированного,PUNCT,ADJ
прикрытия,PUNCT,NOUN
Ираном,NOUN,PROPN
Рита,PUNCT,PROPN
Погосова,PUNCT,PROPN
выиграла,PUNCT,VERB
серебряную,PUNCT,ADJ
смешанном,NOUN,ADJ
Салакка,PUNCT,PROPN
произрастающих,PUNCT,VERB
Мьянма,PUNCT,PROPN
Таиланде,PUNCT,PROPN
Филлипинах,NOUN,PROPN
северо-восточной,NOUN,ADJ
Составная,PUNCT,ADJ
мезорегиона,PUNCT,NOUN
Сельскохозяйственный,PUNCT,ADJ
Параиба,PUNCT,PROPN
было,AUX,VERB
этого,DET,PRON
Бустаманте,PUNCT,PROPN
миграцию,ADP,NOUN
Соединенных,ADJ,VERB
иммиграции,PUNCT,NOUN
ППС,PUNCT,PROPN
поставлялся,PUNCT,VERB
государствам,PUNCT,NOUN
жалобы,ADP,NOUN
физических,PUNCT,ADJ
резидентов,PUNCT,NOUN
неудовлетворительное,NOUN,ADJ
как,ADV,SCONJ
больному,VERB,NOUN
чистым,PUNCT,ADJ
кислородом,PUNCT,NOUN
пока,SCONJ,ADV
единственная,NOUN,ADJ
опубликованная,PUNCT,VERB
