token,pos
В.,PUNCT
Я.,PROPN
БРЮСОВ,PROPN
"

",SPACE
На,ADP
пруду,NOUN
"
",SPACE
Ты,PRON
белых,ADJ
лебедей,NOUN
кормила,VERB
",",PUNCT
"
",SPACE
Откинув,VERB
тяжесть,NOUN
черных,ADJ
кос,NOUN
…,PUNCT
"
",SPACE
Я,PRON
рядом,ADV
плыл,VERB
;,PUNCT
сошлись,VERB
кормила,VERB
;,PUNCT
"
",SPACE
Закатный,ADJ
луч,NOUN
был,AUX
странно,ADJ
-,ADJ
кос,NOUN
.,PUNCT
"
",SPACE
По,ADP
небу,NOUN
полосы,NOUN
синели,VERB
",",PUNCT
"
",SPACE
Вечеровой,ADJ
багрец,NOUN
кроя,NOUN
;,PUNCT
"
",SPACE
В,ADP
цветах,NOUN
черемух,NOUN
и,CCONJ
синели,VERB
"
",SPACE
Скрывались,VERB
водные,ADJ
края,NOUN
.,PUNCT
"
",SPACE
Все,DET
формы,NOUN
были,AUX
строго,ADV
-,ADV
четки,NOUN
",",PUNCT
"
",SPACE
Миг,PROPN
ранил,VERB
сердце,NOUN
сотней,NOUN
жал,VERB
…,PUNCT
"
",SPACE
Я,PRON
",",PUNCT
как,SCONJ
аскет,NOUN
сжимает,VERB
четки,NOUN
",",PUNCT
"
",SPACE
В,ADP
руке,NOUN
весло,VERB
невольно,ADV
жал,VERB
.,PUNCT
"
",SPACE
Вдруг,ADV
лебедей,NOUN
метнулась,VERB
пара,NOUN
…,PUNCT
"
",SPACE
Не,PART
знаю,VERB
",",PUNCT
чья,DET
была,AUX
вина,NOUN
…,PUNCT
"
",SPACE
Закат,NOUN
замлел,VERB
за,ADP
дымкой,NOUN
пара,NOUN
",",PUNCT
"
",SPACE
Алея,PROPN
",",PUNCT
как,SCONJ
поток,NOUN
вина,NOUN
.,PUNCT
"
",SPACE
Была,AUX
то,PRON
правда,ADV
ли,PART
",",PUNCT
мечта,NOUN
ли,PART
",",PUNCT
—,PUNCT
"
",SPACE
Уста,PROPN
двоих,NUM
слились,VERB
в,ADP
одно,NUM
.,PUNCT
"
",SPACE
Две,NUM
лодки,NOUN
",",PUNCT
как,SCONJ
и,PART
мы,PRON
",",PUNCT
мечтали,VERB
",",PUNCT
"
",SPACE
Как,ADV
будто,PART
вонзены,VERB
во,ADP
дно,NOUN
.,PUNCT
"
",SPACE
Я,PRON
свято,ADV
помню,VERB
эту,DET
встречу,NOUN
:,PUNCT
"
",SPACE
Пруд,NOUN
",",PUNCT
берег,NOUN
",",PUNCT
неба,NOUN
яркий,ADJ
плат,NOUN
…,PUNCT
"
",SPACE
Миг,NOUN
тот,DET
же,PART
если,SCONJ
вновь,ADV
я,PRON
встречу,VERB
",",PUNCT
—,PUNCT
"
",SPACE
И,CCONJ
жизнь,NOUN
ничтожная,ADJ
из,ADP
плат,NOUN
!,PUNCT
"
",SPACE
12,ADJ
декабря,NOUN
1914,ADJ
"
",SPACE
