token,pos
Цветки,NOUN
дикорастущих,VERB
форм,NOUN
обыкновенной,ADJ
сирени,NOUN
мелкие,ADJ
",",PUNCT
собраны,VERB
парными,ADJ
пучками,NOUN
(,PUNCT
по,ADP
3,NUM
-,NUM
5,NUM
цветков,NOUN
в,ADP
пучке,NOUN
",",PUNCT
отдельные,ADJ
сорта,NOUN
по,ADP
7,NUM
-,NUM
9,NUM
цветков,NOUN
),PUNCT
.,PUNCT
"
",SPACE
В,ADP
конце,NOUN
осени,NOUN
кора,NOUN
побегов,NOUN
становится,VERB
серой,ADJ
.,PUNCT
"
",SPACE
В,ADP
центре,NOUN
цветка,NOUN
бело,ADJ
-,ADJ
кремовое,ADJ
пятнышко,NOUN
в,ADP
виде,NOUN
звездочки,NOUN
.,PUNCT
"
",SPACE
При,ADP
уплотнении,NOUN
почвы,NOUN
и,CCONJ
асфальтировании,NOUN
суховершинит,VERB
.,PUNCT
"
",SPACE
Морозостоек,PROPN
.,PUNCT
"
",SPACE
Родина,NOUN
-,NOUN
горные,ADJ
леса,NOUN
Тянь,PROPN
-,PROPN
Шаня,PROPN
.,PUNCT
"
",SPACE
Дико,ADV
растет,VERB
на,ADP
сухих,ADJ
склонах,NOUN
в,ADP
умеренно,ADV
теплых,ADJ
районах,NOUN
на,ADP
обширной,ADJ
территории,NOUN
от,ADP
Западной,ADJ
Европы,PROPN
до,ADP
восточной,ADJ
Азии,PROPN
.,PUNCT
"
",SPACE
Полученное,ADJ
количество,NOUN
саженцев,NOUN
затем,ADV
распределяют,VERB
пропорционально,ADV
объему,NOUN
работ,NOUN
по,ADP
годам,NOUN
перспективного,ADJ
периода,NOUN
и,CCONJ
вычисляют,VERB
среднегодовую,ADJ
потребность,NOUN
.,PUNCT
"
",SPACE
Дистальнее,ADJ
места,NOUN
сужения,NOUN
проток,NOUN
не,PART
визуализируется,VERB
.,PUNCT
"
",SPACE
ЗАКЛЮЧЕНИЕ,NOUN
:,PUNCT
Инфильтративные,ADJ
изменения,NOUN
в,ADP
зоне,NOUN
гепатикоэнтероанастомоза,NOUN
",",PUNCT
в,ADP
воротах,NOUN
печени,NOUN
",",PUNCT
во,ADP
внутрибрюшной,ADJ
жировой,ADJ
клетчатке,NOUN
.,PUNCT
"
",SPACE
Золотовалютные,ADJ
резервы,NOUN
увеличились,VERB
на,ADP
170,NUM
миллиардов,NOUN
долларов,NOUN
и,CCONJ
приближаются,VERB
к,ADP
отметке,NOUN
в,ADP
полтриллиона,NOUN
долларов,NOUN
США,PROPN
-,PROPN
точнее,ADV
",",PUNCT
"478,6",NUM
",",PUNCT
по,ADP
последним,ADJ
данным,NOUN
(,PUNCT
чуть,ADV
-,PART
чуть,ADV
понижение,NOUN
произошло,VERB
в,ADP
связи,NOUN
с,ADP
изменением,NOUN
курса,NOUN
доллара,NOUN
),PUNCT
.,PUNCT
"
",SPACE
Это,PRON
вершина,NOUN
тесного,ADJ
и,CCONJ
плодотворного,ADJ
сотрудничества,NOUN
между,ADP
нашими,DET
странами,NOUN
.,PUNCT
"
",SPACE
Мы,PRON
еще,ADV
некоторое,DET
время,NOUN
разговариваем,VERB
с,ADP
Епископом,PROPN
Лукианом,PROPN
",",PUNCT
потом,ADV
он,PRON
провожает,VERB
меня,PRON
до,ADP
ворот,NOUN
Резиденции,PROPN
",",PUNCT
откуда,ADV
навстречу,ADV
нам,PRON
идет,VERB
многочисленный,ADJ
и,CCONJ
многоязычный,ADJ
поток,NOUN
людей,NOUN
",",PUNCT
желающих,VERB
осмотреть,VERB
экспонаты,NOUN
Православного,ADJ
Музея,PROPN
и,CCONJ
посетить,VERB
Кафедральный,ADJ
Собор,PROPN
.,PUNCT
"
",SPACE
Многотысячный,ADJ
коллектив,NOUN
"""",PUNCT
Газпрома,PROPN
"""",PUNCT
денно,ADV
и,CCONJ
нощно,ADV
трудился,VERB
над,ADP
поставленной,VERB
задачей,NOUN
.,PUNCT
"
",SPACE
Там,ADV
оставалось,VERB
еще,ADV
60,NUM
сербских,ADJ
сел,NOUN
.,PUNCT
"
",SPACE
Мы,PRON
шли,VERB
в,ADP
бой,NOUN
вместе,ADV
и,CCONJ
готовы,ADJ
были,AUX
пролить,VERB
кровь,NOUN
друг,PRON
за,ADP
друга,PRON
.,PUNCT
"
",SPACE
-,PUNCT
Какие,DET
впечатления,NOUN
у,ADP
вас,PRON
остались,VERB
от,ADP
Москвы,PROPN
в,ADP
1972,ADJ
году,NOUN
?,PUNCT
"
",SPACE
-,PUNCT
По,ADP
удивительному,ADJ
стечению,NOUN
обстоятельств,NOUN
ваш,DET
олимпийский,ADJ
триумф,NOUN
идеально,ADV
совпал,VERB
по,ADP
времени,NOUN
с,ADP
внедрением,NOUN
современных,ADJ
поролоновых,ADJ
матов,NOUN
.,PUNCT
"
",SPACE
Все,DET
поселение,NOUN
можно,ADV
обойти,VERB
неторопливым,ADJ
шагом,NOUN
за,ADP
10,NUM
минут,NOUN
.,PUNCT
"
",SPACE
Стабильное,ADJ
взаимодействие,NOUN
в,ADP
нефтегазовом,ADJ
секторе,NOUN
является,VERB
общим,ADJ
вкладом,NOUN
России,PROPN
и,CCONJ
Венгрии,PROPN
в,ADP
обеспечение,NOUN
энергобезопасности,NOUN
Европы,PROPN
.,PUNCT
"
",SPACE
При,ADP
этом,PRON
работа,NOUN
над,ADP
реализаций,NOUN
проектов,NOUN
жёстко,ADV
увязывалась,VERB
с,ADP
достижением,NOUN
на,ADP
каждом,DET
этапе,NOUN
целевых,ADJ
показателей,NOUN
.,PUNCT
"
",SPACE
Наверняка,ADV
техника,NOUN
была,AUX
бы,AUX
уже,ADV
не,PART
та,DET
.,PUNCT
"
",SPACE
Я,PRON
имею,VERB
в,ADV
виду,NOUN
наше,DET
сотрудничество,NOUN
в,ADP
сфере,NOUN
энергетики,NOUN
-,PUNCT
первый,ADJ
блок,NOUN
Сангтудинской,ADJ
ГЭС,NOUN
станции,NOUN
запущен,VERB
в,ADP
январе,NOUN
.,PUNCT
"
",SPACE
В,ADP
рамках,NOUN
национального,ADJ
проекта,NOUN
13,NUM
миллионов,NOUN
человек,NOUN
смогли,VERB
пройти,VERB
диспансеризацию,NOUN
",",PUNCT
а,CCONJ
60,NUM
миллионам,NOUN
были,AUX
сделаны,VERB
прививки,NOUN
.,PUNCT
"
",SPACE
Оба,NUM
работают,VERB
на,ADP
влиятельную,ADJ
и,CCONJ
известную,ADJ
адвокатскую,ADJ
контору,NOUN
«,PUNCT
Bullie,X
Brake,X
&,X
Desmay,X
»,PUNCT
и,CCONJ
успешно,ADV
продвигаются,VERB
по,ADP
служебной,ADJ
лестнице,NOUN
.,PUNCT
"
",SPACE
Некоторые,DET
люди,NOUN
испытывают,VERB
панические,ADJ
атаки,NOUN
",",PUNCT
которые,PRON
характеризуются,VERB
чрезвычайно,ADV
сильным,ADJ
чувством,NOUN
страха,NOUN
.,PUNCT
"
",SPACE
Они,PRON
отнюдь,ADV
не,PART
редки,ADJ
.,PUNCT
"
",SPACE
К,ADP
третьей,ADJ
неделе,NOUN
пациенты,NOUN
показывали,VERB
заметное,ADJ
улучшение,NOUN
настроения,NOUN
в,ADP
отличие,NOUN
от,ADP
принимавших,VERB
плацебо,NOUN
.,PUNCT
"
",SPACE
Высокий,ADJ
уровень,NOUN
эстрогена,NOUN
и,CCONJ
низкий,ADJ
прогестерона,NOUN
могут,VERB
привести,VERB
к,ADP
предменструальному,ADJ
синдрому,ADJ
(,PUNCT
ПМС,PROPN
),PUNCT
с,ADP
цикличной,ADJ
депрессией,NOUN
и,CCONJ
беспокойством,NOUN
.,PUNCT
"
",SPACE
Иногда,ADV
колебания,NOUN
настроения,NOUN
и,CCONJ
депрессия,NOUN
могут,VERB
быть,AUX
результатом,NOUN
слишком,ADV
большого,ADJ
стресса,NOUN
и,CCONJ
истощения,NOUN
надпочечников,NOUN
.,PUNCT
"
",SPACE
Первое,ADJ
описание,NOUN
этого,DET
члена,NOUN
семейства,NOUN
перечных,VERB
появилось,VERB
в,ADP
западных,ADJ
странах,NOUN
после,ADP
знаменитых,ADJ
рейдов,NOUN
капитана,NOUN
Джеймса,PROPN
Кука,PROPN
в,ADP
