,CCONJ,ADP,ADJ,NOUN,VERB,PUNCT,DET,PROPN,PART,PRON,AUX,SCONJ,X,ADV,NUM,SYM
А,0.00487012987012987,0.0,0.0,0.0002816504717645402,0.0,0.0,0.0,0.00019007793195210037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Также,0.006899350649350649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
и,0.7305194805194806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11542857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
однако,0.009334415584415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002152852529601722,0.0,0.0
но,0.04707792207792208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000859106529209622,0.0,0.0,0.0
или,0.04788961038961039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
а,0.08522727272727272,0.0,0.0,4.694174529409004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002577319587628866,0.0,0.0,0.0
также,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07771428571428571,0.0,0.0,0.0,0.0,0.0016146393972012918,0.0,0.0
И,0.005681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.00038015586390420075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Однако,0.010957792207792208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001076426264800861,0.0,0.0
Но,0.005275974025974026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
либо,0.006087662337662338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
то,0.002435064935064935,0.0,0.0,0.0,0.0,0.0,0.024077046548956663,0.0,0.0,0.015473887814313346,0.0,0.00646551724137931,0.0,0.005382131324004306,0.0,0.0
Так,0.00040584415584415587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.004843918191603875,0.0,0.0
ни,0.002435064935064935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Да,0.0008116883116883117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
причём,0.0008116883116883117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005382131324004305,0.0,0.0
как,0.0036525974025974025,0.013635285748162201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05818965517241379,0.0,0.030678148546824543,0.0,0.0
так,0.0036525974025974025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04741379310344827,0.0,0.021528525296017224,0.0,0.0
