token,pos
в,PREP
.,X
я,NPRO
.,X
брюсов,NOUN
на,PREP
пруду,NOUN
ты,NPRO
белых,ADJF
лебедей,NOUN
кормила,VERB
",",X
откинув,GRND
тяжесть,NOUN
чёрных,ADJF
кос,NOUN
…,X
я,NPRO
рядом,ADVB
плыл,VERB
;,X
сошлись,VERB
кормила,VERB
;,X
закатный,ADJF
луч,NOUN
был,VERB
странно-кос,ADJS
.,X
по,PREP
небу,NOUN
полосы,NOUN
синели,NOUN
",",X
вечеровой,NOUN
багрец,NOUN
кроя,NOUN
;,X
в,PREP
цветах,NOUN
черёмух,NOUN
и,CONJ
синели,NOUN
скрывались,VERB
водные,ADJF
края,NOUN
.,X
всё,PRCL
формы,NOUN
были,VERB
строго-чётки,NOUN
",",X
миг,NOUN
ранил,VERB
сердце,NOUN
сотней,NOUN
жал,NOUN
…,X
я,NPRO
",",X
как,CONJ
аскет,NOUN
сжимает,VERB
чётки,NOUN
",",X
в,PREP
руке,NOUN
весло,NOUN
невольно,ADVB
жал,NOUN
.,X
вдруг,ADVB
лебедей,NOUN
метнулась,VERB
пара,NOUN
…,X
не,PRCL
знаю,VERB
",",X
чья,ADJF
была,VERB
вина,NOUN
…,X
закат,NOUN
замлел,VERB
за,PREP
дымкой,NOUN
пара,NOUN
",",X
алея,GRND
",",X
как,CONJ
поток,NOUN
вина,NOUN
.,X
была,VERB
то,CONJ
правда,PRCL
ли,CONJ
",",X
мечта,NOUN
ли,CONJ
",",X
—,X
уста,NOUN
двоих,NUMR
слились,VERB
в,PREP
одно,ADJF
.,X
две,NUMR
лодки,NOUN
",",X
как,CONJ
и,CONJ
мы,NPRO
",",X
мечтали,VERB
",",X
как,CONJ
будто,CONJ
вонзены,PRTS
во,PREP
дно,NOUN
.,X
я,NPRO
свято,ADJS
помню,VERB
эту,ADJF
встречу,NOUN
:,X
пруд,NOUN
",",X
берег,NOUN
",",X
неба,NOUN
яркий,ADJF
плат,NOUN
…,X
миг,NOUN
тот,ADJF
же,PRCL
если,CONJ
вновь,ADVB
я,NPRO
встречу,NOUN
",",X
—,X
и,CONJ
жизнь,NOUN
ничтожная,ADJF
из,PREP
плат,NOUN
!,X
12,X
декабря,NOUN
1914,X
