token,pos
цветки,NOUN
дикорастущих,ADJF
форм,NOUN
обыкновенной,ADJF
сирени,NOUN
мелкие,ADJF
",",X
собраны,PRTS
парными,ADJF
пучками,NOUN
(,X
по,PREP
3,X
-,X
5,X
цветков,ADJS
в,PREP
пучке,NOUN
",",X
отдельные,ADJF
сорта,NOUN
по,PREP
7,X
-,X
9,X
цветков,ADJS
),X
.,X
в,PREP
конце,NOUN
осени,NOUN
кора,NOUN
побегов,NOUN
становится,VERB
серой,ADJF
.,X
в,PREP
центре,NOUN
цветка,NOUN
бело-кремовое,ADJF
пятнышко,NOUN
в,PREP
виде,NOUN
звёздочки,NOUN
.,X
при,PREP
уплотнении,NOUN
почвы,NOUN
и,CONJ
асфальтировании,NOUN
суховершинит,VERB
.,X
морозостоек,ADJS
.,X
родина,NOUN
-,X
горные,ADJF
леса,NOUN
тянь-шаня,NOUN
.,X
дико,ADVB
растёт,VERB
на,PREP
сухих,ADJF
склонах,NOUN
в,PREP
умеренно,ADVB
тёплых,ADJF
районах,NOUN
на,PREP
обширной,ADJF
территории,NOUN
от,PREP
западной,ADJF
европы,NOUN
до,PREP
восточной,ADJF
азии,NOUN
.,X
полученное,PRTF
количество,NOUN
саженцев,ADJS
затем,ADVB
распределяют,VERB
пропорционально,ADVB
объёму,NOUN
работ,NOUN
по,PREP
годам,NOUN
перспективного,ADJF
периода,NOUN
и,CONJ
вычисляют,VERB
среднегодовую,ADJF
потребность,NOUN
.,X
дистальнее,NOUN
места,NOUN
сужения,NOUN
проток,NOUN
не,PRCL
визуализируется,VERB
.,X
заключение,NOUN
:,X
инфильтративные,ADJF
изменения,NOUN
в,PREP
зоне,NOUN
гепатикоэнтероанастомоза,NOUN
",",X
в,PREP
воротах,NOUN
печени,NOUN
",",X
во,PREP
внутрибрюшной,ADJF
жировой,ADJF
клетчатке,NOUN
.,X
золотовалютные,ADJF
резервы,NOUN
увеличились,VERB
на,PREP
170,X
миллиардов,NOUN
долларов,NOUN
и,CONJ
приближаются,VERB
к,PREP
отметке,NOUN
в,PREP
полтриллиона,NOUN
долларов,NOUN
сша,NOUN
-,X
точнее,CONJ
",",X
478,X
",",X
6,X
",",X
по,PREP
последним,ADJF
данным,NOUN
(,X
чуть-чуть,ADVB
понижение,NOUN
произошло,VERB
в,PREP
связи,NOUN
с,PREP
изменением,NOUN
курса,NOUN
доллара,NOUN
),X
.,X
это,PRCL
вершина,NOUN
тесного,ADJF
и,CONJ
плодотворного,ADJF
сотрудничества,NOUN
между,PREP
нашими,ADJF
странами,NOUN
.,X
мы,NPRO
ещё,ADVB
некоторое,ADJF
время,NOUN
разговариваем,VERB
с,PREP
епископом,NOUN
лукианом,NOUN
",",X
потом,ADVB
он,NPRO
провожает,VERB
меня,NPRO
