token,pos
 ,SPACE
Бриллиантовая,ADJ
отделка,NOUN
на,ADP
обеих,NUM
сторонах,NOUN
корпуса,NOUN
этой,DET
	,SPACE
#,NOUN
#,SYM
#,PUNCT
	,SPACE
ультраженственной,ADJ
	 ,SPACE
модели,NOUN
",",PUNCT
объединяющей,VERB
часы,NOUN
и,CCONJ
украшение,NOUN
"
",SPACE
-,NUM
1844,NUM
:,PUNCT
Изобретение,PROPN
	,SPACE
#,NOUN
#,NOUN
#,PUNCT
	,SPACE
миллионометра,NOUN
	,SPACE
",",PUNCT
измерения,NOUN
с,ADP
точностью,NOUN
до,ADP
микрона,NOUN
"
 ",SPACE
Узор,PROPN
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
гильоше,NOUN
	 ,SPACE
радует,VERB
глаз,NOUN
и,CCONJ
облегчает,VERB
чтение,NOUN
показаний,NOUN
"
",SPACE
Калибр,NOUN
11,NUM
1/2,NUM
’’,PUNCT
’,PUNCT
",",PUNCT
63,NUM
камней,NOUN
",",PUNCT
частота,NOUN
колебаний,NOUN
баланса,NOUN
28.800,NUM
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
полуколебаний,NOUN
	,SPACE
/час,X
(,PUNCT
4,NUM
Гц,PROPN
),PUNCT
"
",SPACE
В,ADP
этом,DET
втором,ADJ
выпуске,NOUN
модели,NOUN
сохранился,VERB
дизайн,NOUN
корпуса,NOUN
",",PUNCT
навеянный,VERB
стилем,NOUN
«,PUNCT
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
Баухаус,X
	,SPACE
»,PUNCT
",",PUNCT
архитектурным,ADJ
течением,NOUN
30-х,ADJ
годов,NOUN
",",PUNCT
однако,ADV
она,PRON
приобрела,VERB
явный,ADJ
спортивный,ADJ
облик,NOUN
благодаря,ADP
титановому,ADJ
покрытию,NOUN
корпуса,NOUN
и,CCONJ
отделке,NOUN
браслета,NOUN
«,PUNCT
под,ADP
углеволокно,NOUN
»,PUNCT
.,PUNCT
"
",SPACE
Продолжив,VERB
в,ADP
этом,DET
году,NOUN
разработки,NOUN
в,ADP
области,NOUN
рафинированной,ADJ
архитектуры,NOUN
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
скелетонных,ADJ
	 ,SPACE
часовых,ADJ
механизмов,NOUN
",",PUNCT
фирма,NOUN
предложила,VERB
свой,DET
двойной,ADJ
турбийон,NOUN
в,ADP
скульптурном,ADJ
исполнении,NOUN
.,PUNCT
"
",SPACE
Вспомним,VERB
принцип,NOUN
действия,NOUN
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
турбийона,NOUN
	,SPACE
:,PUNCT
регулятор,NOUN
часов,NOUN
(,PUNCT
система,NOUN
баланс,NOUN
/,PUNCT
спираль,NOUN
/,PUNCT
спуск,NOUN
),PUNCT
помещается,VERB
в,ADP
«,PUNCT
каретку,NOUN
»,PUNCT
",",PUNCT
которая,PRON
вращается,VERB
вокруг,ADP
собственной,ADJ
оси,NOUN
",",PUNCT
обычно,ADV
со,ADP
скоростью,NOUN
1,NUM
оборот,NOUN
в,ADP
минуту,NOUN
.,PUNCT
"
",SPACE
Широкие,ADJ
указатели,NOUN
делений,NOUN
выполнены,VERB
из,ADP
золота,NOUN
",",PUNCT
арабские,ADJ
цифры,NOUN
и,CCONJ
счетчик,NOUN
минут,NOUN
покрыты,VERB
напылением,NOUN
из,ADP
розового,ADJ
золота,NOUN
",",PUNCT
отметки,NOUN
секунд,NOUN
рассыпаны,VERB
по,ADP
белому,ADJ
диску,NOUN
",",PUNCT
контуры,NOUN
которого,PRON
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
напылены,VERB
	 ,SPACE
розовым,ADJ
золотом,NOUN
.,PUNCT
"
",SPACE
Использованы,VERB
высокотехнологичные,ADJ
материалы,NOUN
:,PUNCT
корпус,NOUN
из,ADP
титана,NOUN
с,ADP
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
ультралегким,ADJ
	 ,SPACE
и,CCONJ
сверхтвердым,ADJ
",",PUNCT
около,ADP
4000,NUM
HV,PROPN
",",PUNCT
покрытием,NOUN
DLC,PROPN
(,PUNCT
«,PUNCT
"
 ",SPACE
и,CCONJ
сверхтвердым,ADJ
",",PUNCT
около,ADP
4000,NUM
HV,PROPN
",",PUNCT
покрытием,NOUN
DLC,PROPN
(,PUNCT
«,PUNCT
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
алмазоподобный,ADJ
	 ,SPACE
углерод,NOUN
»,PUNCT
),PUNCT
",",PUNCT
циферблат,NOUN
из,ADP
углеродного,ADJ
волокна,NOUN
",",PUNCT
что,PRON
в,ADP
еще,ADV
большей,ADJ
степени,NOUN
улучшает,VERB
характеристики,NOUN
часов,NOUN
.,PUNCT
"
",SPACE
Коньяк,PROPN
X.O.,PROPN
заполняет,VERB
великолепную,ADJ
бутылку,NOUN
-,NOUN
графин,NOUN
",",PUNCT
оформленную,VERB
золотой,ADJ
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
шелкографией,NOUN
	 ,SPACE
и,CCONJ
создающую,VERB
тонкую,ADJ
игру,NOUN
света,NOUN
",",PUNCT
проходящего,VERB
через,ADP
коньяк,NOUN
.,PUNCT
"
",SPACE
На,ADP
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
контрэтикетке,NOUN
	 ,SPACE
указан,VERB
сорт,NOUN
винограда,NOUN
",",PUNCT
из,ADP
которого,PRON
произведен,VERB
коньяк,NOUN
",",PUNCT
описаны,VERB
его,DET
вкусовые,ADJ
качества,NOUN
и,CCONJ
традиционный,ADJ
способ,NOUN
изготовления,NOUN
.,PUNCT
"
",SPACE
Белое,ADJ
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
пино,PROPN
-,ADJ
де,NOUN
-,NOUN
шарант,NOUN
	 ,SPACE
представляет,VERB
собой,PRON
мощное,ADJ
и,CCONJ
хорошо,ADV
сбалансированное,VERB
вино,NOUN
",",PUNCT
выдерживаемое,VERB
на,ADP
коньячном,ADJ
спирту,NOUN
в,ADP
бочках,NOUN
из,ADP
дубов,NOUN
Лимузена,PROPN
.,PUNCT
Обычно,ADV
пьется,VERB
охлажденным,VERB
в,ADP
качестве,NOUN
аперитива,NOUN
",",PUNCT
может,VERB
также,ADV
сопровождать,VERB
десерт,NOUN
.,PUNCT
"
",SPACE
Бархатистый,ADJ
энергичный,ADJ
коньяк,NOUN
",",PUNCT
дегустация,NOUN
которого,PRON
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
запечатлится,VERB
	 ,SPACE
в,ADP
вашей,DET
памяти,NOUN
в,ADP
виде,NOUN
самых,ADJ
приятных,ADJ
воспоминаний,NOUN
.,PUNCT
"
",SPACE
Это,PRON
округлое,ADJ
",",PUNCT
с,ADP
выраженной,ADJ
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
фруктовостью,NOUN
	 ,SPACE
вино,NOUN
создано,VERB
для,ADP
наслаждения,NOUN
:,PUNCT
оно,PRON
начинает,VERB
воздействовать,VERB
прямо,ADV
",",PUNCT
создавая,VERB
объемный,ADJ
вкус,NOUN
.,PUNCT
"
",SPACE
От,ADP
полных,ADJ
солнечного,ADJ
света,NOUN
островов,NOUN
Ре,PROPN
и,CCONJ
Олерон,PROPN
",",PUNCT
от,ADP
Ониса,PROPN
и,CCONJ
Сентонжа,PROPN
до,ADP
удаленных,ADJ
уголков,NOUN
Шаранты,PROPN
мы,PRON
чувствуем,VERB
себя,PRON
в,ADP
сказочном,ADJ
краю,NOUN
феи,NOUN
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
Мелузины,PROPN
	 ,SPACE
и,CCONJ
Спящей,VERB
красавицы,NOUN
.,PUNCT
"
",SPACE
Легкосмываемый,VERB
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
водорастворимый,VERB
	 ,SPACE
маркер,NOUN
Оптимально,ADV
подходит,VERB
для,ADP
неперманентной,ADJ
маркировки,NOUN
по,ADP
пластику,NOUN
",",PUNCT
стеклу,NOUN
",",PUNCT
окрашенным,VERB
металлическим,ADJ
поверхностям,NOUN
",",PUNCT
полированному,ADJ
алюминию,NOUN
",",PUNCT
автомобильным,ADJ
амортизаторам,NOUN
",",PUNCT
специальным,ADJ
металлам,NOUN
.,PUNCT
"
",SPACE
Спрей,NOUN
-,NOUN
активатор,NOUN
:,PUNCT
Активатор,PROPN
для,ADP
ускорения,NOUN
схватывания,NOUN
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
цианакрилатных,ADJ
	 ,SPACE
клеев,NOUN
.,PUNCT
"
",SPACE
В,ADP
стандартном,ADJ
варианте,NOUN
на,ADP
заводе,NOUN
для,ADP
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
вентиляторных,ADJ
	 ,SPACE
блоков,NOUN
выполняется,VERB
разводка,NOUN
кабелей,NOUN
и,CCONJ
необходимые,ADJ
подключения,NOUN
",",PUNCT
которые,PRON
сосредоточены,VERB
:,PUNCT
"
",SPACE
Но,CCONJ
не,PART
могла,VERB
она,PRON
просто,PART
оставить,VERB
драгоценное,ADJ
колечко,NOUN
(,PUNCT
а,CCONJ
скорее,ADV
	,SPACE
#,NOUN
#,NOUN
#,PUNCT
	,SPACE
кольчище,NOUN
	,SPACE
),PUNCT
на,ADP
полу,NOUN
.,PUNCT
"
",SPACE
У,ADP
нас,PRON
тут,ADV
в,ADP
Аргентине,PROPN
такая,DET
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
жарина,NOUN
	,SPACE
!,PUNCT
"
",SPACE
!,PUNCT
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
опупеть,VERB
	 ,SPACE
можно,ADV
!,PUNCT
!,PUNCT
!,PUNCT
!,PUNCT
!,PUNCT
!,PUNCT
!,PUNCT
!,PUNCT
!,PUNCT
!,PUNCT
!,PUNCT
!,PUNCT
"
",SPACE
необходимо,ADJ
",",PUNCT
чтобы,SCONJ
отстоять,VERB
свою,DET
честь,NOUN
и,CCONJ
достоинство,NOUN
Человека,PROPN
и,CCONJ
все,DET
здесь,ADV
присутствующие,VERB
согласны,ADJ
иметь,VERB
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
кулакасто,ADV
-,ADV
добрясто,ADJ
-,ADJ
шкафастое,ADJ
	 ,SPACE
рядом,ADV
"
",SPACE
в,ADP
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
обосененную,ADJ
	 ,SPACE
тишину,NOUN
.,PUNCT
"
 ",SPACE
Мы,PRON
целый,ADJ
год,NOUN
кружили,VERB
по,ADP
разным,ADJ
странам,NOUN
",",PUNCT
и,CCONJ
у,ADP
меня,PRON
уже,ADV
голова,NOUN
заболела,VERB
от,ADP
этой,DET
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
кружали,VERB
	,SPACE
.,PUNCT
"
	",SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
Возрадывайтесь,VERB
	,SPACE
",",PUNCT
френды,NOUN
",",PUNCT
френдини,NOUN
",",PUNCT
"
",SPACE
",",PUNCT
френды,NOUN
",",PUNCT
френдини,NOUN
",",PUNCT
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
френдята,VERB
	 ,SPACE
и,CCONJ
френдятинки,NOUN
"
",SPACE
Мы,PRON
сидели,VERB
",",PUNCT
вечер,NOUN
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
пья,NOUN
	,SPACE
.,PUNCT
"
",SPACE
А,CCONJ
лишь,PART
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
стригя,NOUN
	 ,SPACE
волосы,NOUN
и,CCONJ
"
 ",SPACE
волосы,NOUN
и,CCONJ
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
пекя,NOUN
	 ,SPACE
эпиграммы,NOUN
.,PUNCT
"
",SPACE
Клееный,ADJ
брус,NOUN
и,CCONJ
клееное,ADJ
бревно,NOUN
–,PUNCT
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
деревяннее,ADJ
	 ,SPACE
деревянного,ADJ
.,PUNCT
"
",SPACE
Он,PRON
с,ADP
огромного,ADJ
фото,NOUN
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
невянуще,ADV
	 ,SPACE
улыбался,VERB
"
",SPACE
Сам,ADJ
«,PUNCT
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
Газпром,PROPN
	,SPACE
»,PUNCT
решил,VERB
не,PART
объявлять,VERB
оферту,NOUN
миноритариям,NOUN
ТГК-1,PROPN
.,PUNCT
"
",SPACE
Мой,DET
дух,NOUN
",",PUNCT
с,ADP
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
веселием,NOUN
	 ,SPACE
внемли,NOUN
…,PUNCT
"
",SPACE
Как,SCONJ
Нил,PROPN
",",PUNCT
народы,NOUN
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
напояет,VERB
"	
",SPACE
В,ADP
воздухе,NOUN
	,SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
висю,NOUN
	 ,SPACE
и,CCONJ
фотографирую,NOUN
.,PUNCT
"
",SPACE
Вы,PRON
идите,VERB
домой,ADV
",",PUNCT
а,CCONJ
я,PRON
когда,SCONJ
здесь,ADV
	,SPACE
#,SYM
#,NOUN
#,PUNCT
	,SPACE
набудусь,VERB
	,SPACE
",",PUNCT
то,SCONJ
вы,PRON
за,ADP
мной,PRON
придете,VERB
…,PUNCT
"
	",SPACE
#,SYM
#,SYM
#,PUNCT
	,SPACE
Побежу,PROPN
	,SPACE
",",PUNCT
нет,VERB
",",PUNCT
"
",SPACE
",",PUNCT
нет,VERB
",",PUNCT
	,SPACE
#,SYM
